blk_no,street,postal,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,X1room_sold,X2room_sold,X3room_sold,X4room_sold,X5room_sold,exec_sold,multigen_sold,studio_apartment_sold,X1room_rental,X2room_rental,X3room_rental,other_room_rental,address,dist_to_park_centroid,dist_to_park_boundary,diff_boundary_centroid,park_area,park_length,park_name,SVY21_X,SVY21_Y,Longitude,Latitude
10,TELOK BLANGAH CRES,90010,10,1974,Y,Y,N,N,N,N,BM,66,0,0,65,0,1,0,0,0,0,0,0,0,10 TELOK BLANGAH CRESCENT SINGAPORE 090010,184.0485517,184.0450508,-0.003500856,754248.0541,43075.71525,RAIL CORRIDOR,26492.08825,28910.58527,103.8197694,1.277731532
10,TOH YI DR,590010,7,1988,Y,N,N,N,N,N,BT,36,0,0,0,0,0,36,0,0,0,0,0,0,10 TOH YI DRIVE TOH YI GARDENS SINGAPORE 590010,210.4257757,210.4244144,-0.001361271,5532.05811,323.2854838,CHENG SOON GARDEN PG,21305.10753,35523.92798,103.7731611,1.337539566
10A,BENDEMEER RD,331010,40,2016,Y,N,N,N,N,N,KWN,220,0,0,71,149,0,0,0,0,0,0,0,0,10A BENDEMEER ROAD BENDEMEER LIGHT SINGAPORE 331010,411.6149005,411.6166304,0.001729904,6717.768432,333.9298466,SOMME RD PG,31025.62994,33030.60061,103.8605054,1.314991389
10A,BOON TIONG RD,160010,40,2014,Y,N,N,Y,N,N,BM,228,0,0,76,152,0,0,0,0,0,0,0,0,10A BOON TIONG ROAD TIONG BAHRU VIEW SINGAPORE 160010,269.435027,269.4327416,-0.002285411,3905.397038,253.306322,KIM PONG PARK,27589.06418,29864.50393,103.8296262,1.286358471
10B,BENDEMEER RD,332010,40,2016,Y,N,N,N,N,N,KWN,184,0,0,70,114,0,0,0,0,0,0,0,0,10B BENDEMEER ROAD BENDEMEER LIGHT SINGAPORE 332010,444.1773877,444.1758006,-0.001587149,6717.768432,333.9298466,SOMME RD PG,31004.21083,33084.31372,103.8603129,1.315477153
10B,BEDOK STH AVE 2,461010,20,1994,Y,N,N,N,N,N,BD,56,0,0,0,0,0,56,0,0,0,0,0,0,10B BEDOK SOUTH AVENUE 2 SINGAPORE 461010,333.6456403,333.6425833,-0.003056987,867.3737808,710.6720952,SENNETT AVE LINEAR PK,39447.82127,33844.92618,103.9361833,1.322353866
10B,BOON TIONG RD,164010,30,2014,Y,N,N,Y,N,N,BM,160,0,13,28,84,0,0,0,35,0,0,0,0,10B BOON TIONG ROAD TIONG BAHRU VIEW SINGAPORE 164010,270.5265076,270.5228119,-0.003695742,3905.397038,253.306322,KIM PONG PARK,27542.16606,29862.11297,103.8292048,1.286336847
10B,LOR 7 TOA PAYOH,312010,25,1997,Y,N,N,N,N,N,TP,96,0,0,0,68,28,0,0,0,0,0,0,0,10B LORONG 7 TOA PAYOH TOA PAYOH COURT SINGAPORE 312010,771.4744683,771.4762444,0.001776136,2734.413466,254.0568142,CARMICHAEL RD PG,30786.13643,35482.04042,103.8583536,1.337161364
10C,BEDOK STH AVE 2,462010,2,1994,Y,N,N,Y,N,N,BD,2,0,0,0,0,0,2,0,0,0,0,0,0,10C BEDOK SOUTH AVENUE 2 HDB PUBLIC SHELTERS SINGAPORE 462010,304.5763903,304.5745225,-0.001867813,867.3737808,710.6720952,SENNETT AVE LINEAR PK,39452.14789,33816.18043,103.9362221,1.322093899
10C,BENDEMEER RD,333010,40,2016,Y,N,N,N,N,N,KWN,220,0,0,71,149,0,0,0,0,0,0,0,0,10C BENDEMEER ROAD BENDEMEER LIGHT SINGAPORE 333010,497.8916009,497.8895414,-0.00205954,6717.768432,333.9298466,SOMME RD PG,31041.11534,33124.69703,103.8606445,1.315842362
10D,BEDOK STH AVE 2,463010,23,1994,Y,N,N,N,N,N,BD,84,0,0,0,0,0,84,0,0,0,0,0,0,10D BEDOK SOUTH AVENUE 2 SINGAPORE 463010,267.5638372,267.5610949,-0.002742284,867.3737808,710.6720952,SENNETT AVE LINEAR PK,39463.77265,33780.46079,103.9363266,1.321770859
10E,BEDOK STH AVE 2,464010,21,1992,Y,N,N,N,N,N,BD,81,0,0,0,0,0,81,0,0,0,0,0,0,10E BEDOK SOUTH AVENUE 2 SINGAPORE 464010,252.5210728,252.5209565,-0.000116321,867.3737808,710.6720952,SENNETT AVE LINEAR PK,39543.27786,33763.79318,103.937041,1.321620093
10F,BEDOK STH AVE 2,465010,24,1992,Y,N,N,N,N,N,BD,67,0,0,0,0,0,67,0,0,0,0,0,0,10F BEDOK SOUTH AVENUE 2 SINGAPORE 465010,317.2011938,317.1994725,-0.001721268,867.3737808,710.6720952,SENNETT AVE LINEAR PK,39538.86651,33829.87721,103.9370013,1.322217735
100,ALJUNIED CRES,380100,12,1977,Y,N,N,Y,N,N,GL,198,0,0,0,0,0,0,0,0,198,0,0,0,100 ALJUNIED CRESCENT BETHEL TOTS CENTRE SINGAPORE 380100,373.2985235,373.2991626,0.000639141,2901.880019,220.0805861,GEYLANG EAST PK,33658.97573,33691.30584,103.8841674,1.320966199
100,BEDOK NTH AVE 4,460100,14,1978,Y,N,N,N,N,N,BD,206,0,0,178,26,1,1,0,0,0,0,0,0,100 BEDOK NORTH AVENUE 4 BEDOK POND 1 SINGAPORE 460100,584.5359452,584.541464,0.005518836,3613.524446,277.3208961,JLN PARI DEDAP PG,39693.32219,35148.07829,103.9383897,1.334139
100,C'WEALTH CRES,140100,10,1964,Y,N,N,N,N,N,QT,75,0,9,61,5,0,0,0,0,0,0,0,0,100 COMMONWEALTH CRESCENT CRESCENT VIEW SINGAPORE 140100,724.3468746,724.3478856,0.00101099,2737.994684,252.5559281,HOLLAND VILLAGE PK,24433.56686,32224.9461,103.8012725,1.307705276
100,LOR 1 TOA PAYOH,310100,16,1968,Y,N,N,N,N,N,TP,192,0,0,192,0,0,0,0,0,0,0,0,0,100 LORONG 1 TOA PAYOH TOA PAYOH PALM SPRING SINGAPORE 310100,928.1817095,928.1856557,0.003946191,45692.56045,985.3940788,TOA PAYOH TOWN PK,29699.06833,35747.70333,103.8485857,1.339564005
100,WHAMPOA DR,320100,25,1973,Y,N,N,N,N,N,KWN,96,0,0,0,96,0,0,0,0,0,0,0,0,100 WHAMPOA DRIVE WHAMPOA VIEW SINGAPORE 320100,686.3288782,686.329394,0.000515754,3714.950019,373.7979795,PEK KIO PARK,30340.44902,33670.61114,103.8543487,1.320779477
101,AH HOOD RD,320101,25,1981,Y,N,N,N,N,N,KWN,96,0,0,0,0,96,0,0,0,0,0,0,0,101 AH HOOD ROAD AH HOOD GARDENS SINGAPORE 320101,281.4383907,281.4416859,0.003295186,2162.607794,255.4424252,NOVENA RISE PK,29242.26625,34402.31249,103.844481,1.32739679
101,ALJUNIED CRES,380101,12,1977,Y,Y,N,N,N,N,GL,152,0,0,126,22,1,1,0,0,0,0,2,0,101 ALJUNIED CRESCENT SINGAPORE 380101,463.8900567,463.8827625,-0.007294247,2901.880019,220.0805861,GEYLANG EAST PK,33568.22178,33686.49998,103.883352,1.320922753
101,ANG MO KIO AVE 3,560101,12,1977,Y,N,N,N,N,N,AMK,88,0,0,0,12,76,0,0,0,0,0,0,0,101 ANG MO KIO AVENUE 3 KEBUN BARU HEIGHTS SINGAPORE 560101,245.2268025,245.2212256,-0.005576928,4207.179128,269.4142995,MAYFLOWER CRESCENT PG,28684.34474,39142.08052,103.8394679,1.370261584
